bin_left,bin_right,count
542.8959107247296,559.3996782265791,1
559.3996782265791,576.4051521078181,1
576.4051521078181,593.9275839945432,0
593.9275839945432,611.9826891547498,3
611.9826891547498,630.5866605928176,3
630.5866605928176,649.7561835724599,3
649.7561835724599,669.5084505811649,4
669.5084505811649,689.8611767495474,2
689.8611767495474,710.8326157394418,3
710.8326157394418,732.4415761149853,1
732.4415761149853,754.7074382113736,1
754.7074382113736,777.6501715164186,2
777.6501715164186,801.290352580497,4
801.290352580497,825.6491834709526,2
825.6491834709526,850.7485107875026,1
850.7485107875026,876.6108452557038,0
876.6108452557038,903.2593819160498,0
903.2593819160498,930.7180209268074,0
930.7180209268074,959.0113889992479,3
959.0113889992479,988.1648614845001,1
988.1648614845001,1018.2045851318321,1
1018.2045851318321,1049.1575015387737,3
1049.1575015387737,1081.0513713141102,0
1081.0513713141102,1113.914798975421,0
1113.914798975421,1147.7772586034898,1
1147.7772586034898,1182.669120276596,1
1182.669120276596,1218.6216773083959,1
1218.6216773083959,1255.6671743138231,3
1255.6671743138231,1293.8388361281764,1
1293.8388361281764,1333.1708976053349,2
1333.1708976053349,1373.698634321824,1
1373.698634321824,1415.4583942142704,1
1415.4583942142704,1458.4876301786176,2
1458.4876301786176,1502.8249336603453,1
1502.8249336603453,1548.5100692658123,0
1548.5100692658123,1595.584010425767,0
1595.584010425767,1644.088976143012,1
1644.088976143012,1694.0684688571796,1
1694.0684688571796,1745.5673134605777,3
1745.5673134605777,1798.6316975000966,0
1798.6316975000966,1853.3092126012366,0
1853.3092126012366,1909.6488971514032,1
1909.6488971514032,1967.7012802807544,0
1967.7012802807544,2027.518427180045,0
2027.518427180045,2089.153985796108,0
2089.153985796108,2152.66323494686,1
2152.66323494686,2218.103133898974,0
2218.103133898974,2285.5323734526933,1
2285.5323734526933,2355.011428579596,0
2355.011428579596,2426.6026126605225,0
2426.6026126605225,2500.3701333723075,0
2500.3701333723075,2576.3801502734445,1
2576.3801502734445,2654.700834140324,1
2654.700834140324,2735.4024281072616,0
2735.4024281072616,2818.5573106651573,0
2818.5573106651573,2904.2400605752814,1
2904.2400605752814,2992.527523756404,0
2992.527523756404,3083.4988822052674,1
3083.4988822052674,3177.2357250121963,0
3177.2357250121963,3273.82212153556,0
3273.82212153556,3373.344696800693,0
3373.344696800693,3475.8927091909063,0
3475.8927091909063,3581.5581305002725,0
3581.5581305002725,3690.4357284199705,0
3690.4357284199705,3802.6231515321765,0
3802.6231515321765,3918.221016887729,0
3918.221016887729,4037.333000246107,0
4037.333000246107,4160.065929058664,0
4160.065929058664,4286.529878278502,1
4286.529878278502,4416.838269082922,0
4416.838269082922,4551.107970596987,0
4551.107970596987,4689.45940470943,0
4689.45940470943,4832.016654074912,0
4832.016654074912,4978.907573399504,0
4978.907573399504,5130.263904109181,0
5130.263904109181,5286.221392504188,0
5286.221392504188,5446.9199115052415,0
5446.9199115052415,5612.503586100753,0
