bin_left,bin_right,count
595.3789418752264,625.772726417578,5228
625.772726417578,657.7180978129968,4941
657.7180978129968,691.2942637613098,4633
691.2942637613098,726.5844754741188,4514
726.5844754741188,763.6762340939695,4242
763.6762340939695,802.6615076511101,4100
802.6615076511101,843.6369590957789,3713
843.6369590957789,886.7041859714241,3700
886.7041859714241,931.9699723231099,3420
931.9699723231099,979.5465534657235,3364
979.5465534657235,1029.551894268455,2978
1029.551894268455,1082.1099816455585,2980
1082.1099816455585,1137.3511319786103,2655
1137.3511319786103,1195.4123142325204,2590
1195.4123142325204,1256.4374895664369,2332
1256.4374895664369,1320.5779682816187,2139
1320.5779682816187,1387.9927849913097,1937
1387.9927849913097,1458.8490929428356,1767
1458.8490929428356,1533.3225784696401,1661
1533.3225784696401,1611.5978966008886,1427
1611.5978966008886,1693.8691289086983,1331
1693.8691289086983,1780.3402647282471,1230
1780.3402647282471,1871.2257069439106,1199
1871.2257069439106,1966.7508035955168,1088
1966.7508035955168,2067.1524066228317,1010
2067.1524066228317,2172.679459133643,943
2172.679459133643,2283.593612651589,977
2283.593612651589,2400.1698758741613,776
2400.1698758741613,2522.6972965494638,699
2522.6972965494638,2651.4796781624245,649
2651.4796781624245,2786.836333207476,550
2786.836333207476,2929.10287491539,535
2929.10287491539,3078.6320493973767,509
3078.6320493973767,3235.7946102696965,439
3235.7946102696965,3400.9802379273965,393
3400.9802379273965,3574.598505746523,355
3574.598505746523,3757.0798956103945,373
3757.0798956103945,3948.8768652780163,281
3948.8768652780163,4150.464970241074,271
4150.464970241074,4362.34404285114,228
4362.34404285114,4585.039431640715,215
4585.039431640715,4819.103303910956,228
4819.103303910956,5065.116014815839,209
5065.116014815839,5323.68754633734,169
5323.68754633734,5595.459019719561,168
5595.459019719561,5881.104285111815,153
5881.104285111815,6181.331592362213,124
6181.331592362213,6496.885347104284,108
6496.885347104284,6828.5479564910165,105
6828.5479564910165,7177.1417691526,90
7177.1417691526,7543.531114188006,95
7543.531114188006,7928.624444246035,90
7928.624444246035,8333.376588009527,73
8333.376588009527,8758.791117667715,76
8758.791117667715,9205.922837246819,59
9205.922837246819,9675.880397968596,46
9675.880397968596,10169.829047121617,45
10169.829047121617,10688.993517260924,46
10688.993517260924,11234.661062899962,51
11234.661062899962,11808.184652223836,42
11808.184652223836,12410.986321738055,36
12410.986321738055,13044.560702170264,29
13044.560702170264,13710.47872436743,19
13710.47872436743,14410.391514377143,23
14410.391514377143,15146.034487370804,15
15146.034487370804,15919.231650559412,17
15919.231650559412,16731.900125771102,14
16731.900125771102,17586.05490290363,11
17586.05490290363,18483.813836038415,11
18483.813836038415,19427.40289460345,16
19427.40289460345,20419.161682605365,6
20419.161682605365,21461.549239615426,4
21461.549239615426,22557.150137892822,5
22557.150137892822,23708.68089076294,6
23708.68089076294,24918.996688139992,4
24918.996688139992,26191.098475894567,1
26191.098475894567,27528.140396619157,1
27528.140396619157,28933.437610241126,3
28933.437610241126,30410.474513873403,2
30410.474513873403,31962.913381284754,1
31962.913381284754,33594.603443410284,0
33594.603443410284,35309.590432417266,2
35309.590432417266,37112.12661299062,1
37112.12661299062,39006.68132571021,0
39006.68132571021,40997.95206866213,0
40997.95206866213,43090.87614476041,0
43090.87614476041,45290.64290365846,0
45290.64290365846,47602.70660860357,0
47602.70660860357,50032.799960138145,1
50032.799960138145,52586.9483101779,0
52586.9483101779,55271.484601712196,0
55271.484601712196,58093.06507116791,0
58093.06507116791,61058.68575237085,0
61058.68575237085,64175.69982302578,0
64175.69982302578,67451.83583672521,0
67451.83583672521,70895.21688569275,0
70895.21688569275,74514.38074177454,0
74514.38074177454,78318.30102561771,0
78318.30102561771,82316.4094565243,0
82316.4094565243,86518.61923814927,0
86518.61923814927,90935.34963802487,0
90935.34963802487,95577.55182185819,0
95577.55182185819,100456.73600665558,0
100456.73600665558,105584.99999999996,1
